id,大項目,中項目,実績名,説明
1,開発,環境構築,マイ砂箱,自分のサンドボックス環境でゲームのチュートリアルを完了した。
2,開発,環境構築,ドクター・ドッカー,神姫のDocker環境をセットアップし、ゲームのチュートリアルを完了した。
3,開発,フロントエンド,やむを得ず・・・,Cocosにパッチを1度当てた。
4,開発,フロントエンド,くせになってる？,Cocosにパッチを3度当てた。
5,開発,フロントエンド,危険な作業,Cocosに当たっているパッチを1度修正、または解除した。
6,開発,フロントエンド,危険物取扱者,Cocosに当たっているパッチを3度修正、または解除した。
7,開発,フロントエンド,創造者A,フロントの新規機能の開発を1つ行なった。
8,開発,フロントエンド,創造者B,フロントの新規機能の開発を3つ行なった。
9,開発,フロントエンド,改善初心者,フロントの機能の改善対応を1回行なった。
10,開発,フロントエンド,改善マースター,フロントの機能の改善対応を5回行なった。
11,開発,フロントエンド,はじめての修理,フロントのバグを1個修正した。
12,開発,フロントエンド,修理工,フロントのバグを5個修正した。
13,開発,フロントエンド,すごい修理工,フロントのバグを15個修正した。
14,開発,フロントエンド,これでしか再現しないんです,ブラウザ依存（バージョン依存含む）の問題を1回調査した。
15,開発,フロントエンド,これでしか再現しないんだよ！,ブラウザ依存（バージョン依存含む）の問題を3回調査した。
16,開発,フロントエンド,まとめて直るといいな,ポップアップやページャーなど、フロントの共通機能を1つ改修した。
17,開発,フロントエンド,まとめて直るとよかった,ポップアップやページャーなど、フロントの共通機能を3つ改修した。
18,開発,フロントエンド,サクサクへの第一歩,フロントの高速化改善のチケットを1つ完了にさせた。
19,開発,フロントエンド,サクサク,フロントの高速化改善のチケットを3つ完了にさせた。
20,開発,フロントエンド,パック,フロントの1パック化の適用範囲を1度変更した。
21,開発,フロントエンド,パック,フロントの1パック化の適用範囲を3度変更した。
22,開発,フロントエンド,UI班におねがい！,UI構造の変更依頼をUI班に1度お願いした。
23,開発,フロントエンド,UI班たのんだ！,UI構造の変更依頼をUI班に3度お願いした。
24,開発,バックエンド,ドメインを練り上げる,既存のドメイン設計を1ドメイン以上再構築し、ドメイン図を書いた。
25,開発,バックエンド,バックエンド上手い人Lv1,バックエンドの機能作成を1つ作成した。
26,開発,バックエンド,バックエンド上手い人Lv2,バックエンドの機能作成を5つ作成した。
27,開発,バックエンド,バックエンド上手い人Lv3,バックエンドでmigrationファイルを1つ作成した。
28,開発,バックエンド,バックエンド上手い人Lv4,バックエンドでmigrationファイルを5つ作成した。
29,開発,バックエンド,バックエンド上手い人Lv5,バックエンドでSeederファイルを1つ作成した。
30,開発,バックエンド,バックエンド上手い人Lv6,バックエンドでSeederファイルを5つ作成した。
31,開発,バックエンド,バックエンド上手い人Lv7,バックエンドのenvに書かれる変数を1つ増やした。
32,開発,バックエンド,バックエンド上手い人Lv8,バックエンドのenvに書かれる変数を5つ増やした。
33,開発,バックエンド,バックエンド上手い人Lv9,バックエンドのAPI速度改善チケットを1つ完了させた。
34,開発,バックエンド,バックエンド上手い人Lv10,バックエンドのAPI速度改善チケットを5つ完了させた。
35,開発,バックエンド,バックエンド上手い人Lv11,バックエンドの効果コードを作成するチケットを1つ完了させた。
36,開発,バックエンド,バックエンド上手い人Lv12,バックエンドの効果コードを作成するチケットを5つ完了した。
37,開発,バックエンド,バックエンド上手い人Lv13,composerにライブラリを1回追加した。
38,開発,バックエンド,バックエンド上手い人Lv14,composerにライブラリを3回追加した。
39,開発,バックエンド,バックエンド上手い人Lv15,RDBのデータベース分割（水平、垂直）を1度行なった。
40,開発,バックエンド,バックエンド上手い人Lv16,RDBのデータベース分割（水平、垂直）を3度行なった。
41,開発,バックエンド,バックエンド上手い人Lv17,Redisのデータベース分割（水平、垂直）、またはデータの保存先変更を1度行なった。
42,開発,バックエンド,バックエンド上手い人Lv18,Redisのデータベース分割（水平、垂直）、またはデータの保存先変更を3度行なった。
43,開発,バックエンド,Command!,Artisan Commandを1つ以上実装し、マージされた。
44,開発,バックエンド,コマンドー,Artisan Commandを5つ以上実装し、マージされた。
45,開発,バックエンド,足跡を残す,行動ログの種類を1つ以上増やした。
46,開発,バックエンド,バックエンド上手い人Lv19,行動ログの種類を5つ以上増やした。
47,開発,バッチ,バッチで解決！,バッチ処理を1個実装した。
48,開発,バッチ,バッチで解決・・・？,バッチ処理を5個実装した。
49,開発,課金,なんでズレんねん,課金の不具合調査を1つ行なった。
50,開発,課金,ねえ・・・なんで・・・？,課金の不具合調査を3つ行なった。
51,開発,API,APIはなんの略？,新規APIを1つ作成した。
52,開発,API,Application Programming Interface,新規APIを5つ作成した。
53,開発,API,欲しいものがある,既存のAPIの定義変更を1つ行なった。
54,開発,API,欲深いである,既存のAPIの定義変更を5つ行なった。
55,開発,APIDOC,APIデビュー,APIDOCにプルリクエストを出した
56,開発,APIDOC,APIビルダー,APIDOCにプルリクエストを5つ出した
57,開発,APIDOC,RESTってなあに,APIDOCにプルリクエストを30つ出した
58,開発,バグ修正,未然に防ごう,リリース前不具合のバグ修正チケットを1つ完了にさせた。
59,開発,バグ修正,本番で出るよりマシ！,リリース前不具合のバグ修正チケットを10個完了にさせた。
60,開発,バグ修正,さっくり直す,本番不具合のバグ修正チケットを1個完了にさせた。
61,開発,バグ修正,ドンドン直していこう,本番不具合のバグ修正チケットを10個完了にさせた。
62,開発,自動テスト,テストの道も一歩から,テストコードを新規に1つ以上実装し、マージされた。
63,開発,自動テスト,テスト済みの出荷製品,新規機能実装に対するテストコードを3クラス以上実装し、マージされた。
64,開発,自動テスト,ほしゅ。,既にリリースされた機能に対するテストコードを1クラス以上実装し、マージされた。
65,開発,自動テスト,耐久試験,既にリリースされた機能に対するテストコードを5クラス以上実装し、マージされた。
66,開発,自動テスト,石橋をテストで叩く,既にリリースされた機能に対するテストコードを15クラス以上実装し、マージされた。
67,開発,自動テスト,補修工事,マージされているが動作しないテストコードを1クラス以上修正し、マージされた。
68,開発,diako,diako、かしこくなる,diako botに機能をひとつ以上追加した。
69,開発,diako,diakoはたまにマジかしこい,diako botに機能を3つ以上追加した。
70,開発,負荷試験,負荷試験候補生,負荷試験シナリオを1つ以上作成した。自動か手動かは問わない。
71,開発,負荷試験,負荷試験実習生,負荷試験シナリオを3つ以上作成した。自動か手動かは問わない。
72,開発,負荷試験,流してみよう,Jmeterによる負荷試験を1度行なった。
73,開発,負荷試験,流すのにもなれてきた,Jmeterによる負荷試験を5度行なった。
74,開発,負荷試験,でっかくやろう,Jmeterによる負荷試験を本番相当の環境に1度行なった。
75,開発,負荷試験,サーバ代にはご注意を,Jmeterによる負荷試験を本番相当の環境に5度行なった。
76,開発,ネイティブ,普段は出さないけど,ネイティブアプリのリポジトリにプルリクエストを1度出した
77,開発,ネイティブ,ピタヤだけじゃない,ネイティブアプリのリポジトリにプルリクエストを3度出した
78,開発,ネイティブ,アプリを動かしてみる,ネイティブアプリのビルドを自分のローカルPCで1度行なった。
79,開発,ネイティブ,アプリのなぞを解く,ネイティブアプリのビルドを自分のローカルPCで5度行なった。
80,開発,インフラ,インフラ Lv 1,インフラチーム管理のGitリポジトリにプルリクエストを1回出した。
81,開発,インフラ,インフラ Lv 2,インフラチーム管理のGitリポジトリにプルリクエストを5回出した。
82,運用,定常メンテナンス,はじめてのメンテ担当,定常メンテナンスデプロイをメインオペレータで1回以上した
83,運用,定常メンテナンス,そろそろ慣れてきた,定常メンテナンスのメインを5回以上担当した
84,運用,定常メンテナンス,指差し確認,定常メンテナンスのサブを1回以上担当した
85,運用,定常メンテナンス,女房役,定常メンテナンスのサブを5回以上担当した
86,運用,サイレントデプロイ,サイレントデプロイマスタ Lv1,バックエンドのサイレントデプロイを（メイン、サブ構わず）1度行なった。
87,運用,サイレントデプロイ,サイレントデプロイマスタ Lv2,バックエンドのサイレントデプロイを（メイン、サブ構わず）5度行なった。
88,運用,サイレントデプロイ,サイレントデプロイマスタ Lv3,リソースのサイレントデプロイを（メイン、サブ構わず）1度行なった。
89,運用,サイレントデプロイ,サイレントデプロイマスタ Lv4,リソースのサイレントデプロイを（メイン、サブ構わず）5度行なった。
90,運用,メンテ中特別対応,特別な日常,本番環境で、メンテ中特別対応のコマンドを（メイン、サブ構わず）1度流した。
91,運用,メンテ中特別対応,特別な日常,本番環境で、メンテ中特別対応のコマンドを（メインサブ構わず）5度流した。
92,運用,メンテ中特別対応,特別な日常,本番環境で、バトルデータ削除を（メインサブ構わず）1度流した。
93,運用,メンテ中特別対応,特別な日常,本番環境で、バトルデータ削除を（メインサブ構わず）5度流した。
94,運用,TellmeDomain,ドメインビルダー,TellmeDomainのバージョン変更を1回行なった。
95,運用,TellmeDomain,ドメインビルダー,TellmeDomainのバージョン変更を3回行なった。
96,運用,スナップショット,念のためのバックアップは重要,本番環境のスナップショットを1度取得した。
97,運用,スナップショット,とりあえず取るのが大事,本番環境のスナップショットを5度取得した。
98,運用,緊急対応,慌てず急ぐ,緊急対応のサブを1回担当した
99,運用,緊急対応,急ぐが慌てない,緊急対応のサブを3回担当した
100,運用,緊急対応,クールに行こうぜ,緊急対応のメインを1回担当した
101,運用,緊急対応,Be Cool,緊急対応のメインを3回担当した
102,運用,環境保守,デプロイエラー?,デバッグ環境のデプロイエラー対応を1回行った
103,運用,環境保守,転んだら起こす,デバッグ環境のデプロイエラー対応を5回行った
104,運用,mirror1,ユーザになってみよう！,mirror1を使用して、なりきりを1回行なった。
105,運用,mirror1,なりきり師,mirror1を使用して、なりきりを5回行なった。
106,運用,mirror1,本番データで確認しとこ。,mirror1で、クエリやmigration、コマンドの速度確認を1回行なった。
107,運用,mirror1,本番データで確認しとこ。,mirror1で、クエリやmigration、コマンドの速度確認を5回行なった。
108,運用,Datadog,番犬,Datadogにログインし、サーバ負荷を1度確認した。
109,運用,Datadog,番犬,Datadogにログインし、サーバ負荷を10度確認した。
110,運用,Datadog,負荷からカイゼン,Datadogでサーバ負荷に確認したのち、改善チケットを1つ作成した。
111,運用,NewRelic,遅いのは…?,NewRelicにログインし、APIの速度について1度確認した。
112,運用,NewRelic,遅いのは…?,NewRelicにログインし、APIの速度について10度確認した。
113,運用,NewRelic,破壊&創造,NewRelicでAPIの速度を確認したのち、改善チケットを1つ作成した。
114,運用,Kibana(backend-api),変なログはない…？,backend-apiを保存しているElasticSearchのKibanaにログインし、APIログを1度確認した。
115,運用,Kibana(backend-api),これもしかして…?,backend-apiを保存しているElasticSearchのKibanaにログインし、APIログを5度確認した。
116,運用,Kibana(フロントエラーログ),このエラーは…?,フロントエラーログを保存しているElasticSearchのKibanaにログインし、フロントエラーログを1度確認した。
117,運用,Kibana(フロントエラーログ),まさか…！？,フロントエラーログを保存しているElasticSearchのKibanaにログインし、フロントエラーログを5度確認した。
118,運用,Googleアナリティクス,Googleアナリティクスログイン,神姫のGoogleアナリティクスに1度ログインした。
119,運用,Smartbeat,この力は…!?,神姫のSmartbeatにログインし、本番アプリのエラー確認を1度行なった。
120,運用,Smartbeat,SmartBeatさんありがとう,神姫のSmartbeatにログインし、本番アプリのエラー確認を5度行なった。
121,運用,業務フロー,継続的なんとかかんとか,業務フローの改善提案を行った。または開発支援施策を1つ以上準備し、採用された。
122,運用,業務フロー,継続した継続的CI,業務フローの改善提案が3つ以上採用された。または開発支援施策を3つ以上準備し、採用された。
123,チーム,カンバン,最初の一枚,カンバンチケットを1つ完了させた
124,チーム,カンバン,カンバン・ストレート,カンバンチケットを5つ完了させた
125,チーム,カンバン,カンバンマスター Lv1,カンバンチケットを30つ完了させた
126,チーム,カンバン,カンバンマスター Lv2,カンバンイベントのファシリテーターを1回担当した。
127,チーム,カンバン,カンバンマスター Lv3,カンバンイベントのファシリテーターを5回担当した。
128,チーム,スクラム,スクラム・クラウチ,スクラムチームにアサインされ、計画MTGに参加した
129,チーム,スクラム,スクラム・バインド,スクラムチケットを3つ完了させた
130,チーム,スクラム,スクラム・セット,1Sprintでの担当チケットを全て完了させた。
131,チーム,スクラム,ふぁしりてーたー,スクラムイベントのファシリテーターを1回担当した。
132,チーム,スクラム,回るファシリテーター,スクラムイベントのファシリテーターを5回担当した。
133,チーム,スクラム,時計を二度見る,Sprint中に残余時間を増やした。
134,チーム,スクラム,3Point Field Goal,参加したSprintが連続3Sprint、残余0で完了した
135,チーム,スクラム,10回転宙返り,参加したSprintのうち10Sprint、残余0で完了した
136,チーム,改善提案,カイゼン,改善チケットを1つ以上作成した。不具合、作成依頼されたものは除く。
137,チーム,改善提案,カイゼン,改善チケットを5つ以上作成した。不具合、作成依頼されたものは除く。
138,チーム,ふりかえり,文化行き,ふりかえりで書いたTryが1つ以上文化入りした
139,チーム,ふりかえり,Let's Try,ふりかえりで書いたTryが1つ以上採用された
140,チーム,ペアプロ,ペアプロはじめました,チームに入ってから1回以上ペアプロをした
141,チーム,ペアプロ,ペアプロ上級者Lv1,チームに入ってから3回以上ペアプロをした
142,チーム,ペアプロ,ペアプロ上級者Lv2,チームに入ってから10回以上ペアプロをした
143,チーム,モブプロ,モブプロはじめました,チームに入ってから1回以上モブプロをした
144,ゲーム,神姫,神姫プレイヤーLv1,本番環境の神姫をプレイし、チュートリアルを突破した
145,ゲーム,神姫,神姫プレイヤーLv2,本番環境の神姫をプレイし、RANK20を突破した
146,ゲーム,神姫,神姫プレイヤーLv3,本番環境の神姫をプレイし、RANK50を突破した
147,ゲーム,神姫,神姫プレイヤーLv4,本番環境の神姫をプレイし、RANK100を突破した
148,ゲーム,神姫,神姫プレイヤーLv5,本番環境で降臨戦をプレイし、SSR幻獣を手に入れた
149,ゲーム,神姫,神姫プレイヤーLv6,本番環境でレイドイベントをプレイし、SSR幻獣を手に入れた
150,ゲーム,神姫,神姫プレイヤーLv7,本番環境でレイドイベントをプレイし、SR神姫を手に入れた
151,ゲーム,神姫,神姫プレイヤーLv8,本番環境でレイドイベントをプレイし、すべての報酬を手に入れた
152,ゲーム,神姫,神姫プレイヤーLv9,本番環境でユニオンに所属した。
153,ゲーム,神姫,神姫プレイヤーLv10,本番環境でユニオンイベントに参加し、十字架を使用した。
154,ゲーム,神姫,神姫プレイヤーLv11,本番環境でユニオンイベントに参加し、アルティメットを撃破した。
155,ゲーム,神姫,神姫プレイヤーLv12,本番環境でデイリーミッションを1回コンプリートした。
156,ゲーム,神姫,神姫プレイヤーLv13,本番環境でウィークリーミッションをコンプリートした。
157,神姫外活動,スキル,エース,スキルマップの1項目以上が☆(エース)である。
158,神姫外活動,スキル,エース・オブ・エース,スキルマップの5項目以上が☆(エース)である。
159,神姫外活動,スキル,得意気なDB,スキルマップのDB系項目すべてに◯(得意)がある。
160,神姫外活動,スキル,バトルマスター,スキルマップのバトル(フロント、バック)が両方◯(得意)以上である。
161,神姫外活動,スキル,第二外国語,PHP、Javascript以外のプログラミング言語でプルリクエストを出し、マージされた。
162,神姫外活動,勉強,ろくろを回す?,社外の勉強会に参加し、1つ以上レポートを書いた。
163,神姫外活動,勉強,勉強は続いてこそ,社内外問わず、勉強会・読書会に3ヶ月以上継続参加した。
164,神姫外活動,勉強,プロコン,プログラミングコンテストに参加し、1つ以上レポートを書いた。
165,神姫外活動,勉強,ハイスコア!,プログラミングコンテストに参加し、5つ以上レポートを書いた。
166,神姫外活動,勉強,じっと本棚を見る,技術に関わる本を1冊読み、レポートを書いた。
167,神姫外活動,勉強,本にひっついた虫,技術に関わる本を5冊読み、レポートを書いた。
168,神姫外活動,勉強,CEDEC ←読める?,CEDECに1回以上参加し、レポートを書いた。
169,神姫外活動,本,Get Readable Code,自分のリーダブルコードを持っている。
170,神姫外活動,本,Read Read,リーダブルコードを読んだ。
